taxon	stderr	estimate
CAG-1024 sp000432015	0.120612453689154	0.0342374550756747
CAG-103 sp000432375	0.0764715457380165	0.0101991855257633
CAG-103 sp004556965	0.25669632668554	0.217512181679109
CAG-103 sp900317855	0.0761975475006181	-0.0239712433020278
CAG-103 sp900543625	0.0869001501186987	-0.0517843333051798
CAG-103 sp900757655	0.186305440309617	0.0427038031067638
CAG-1031 sp000431215	0.24055254229423	-0.132143616495513
CAG-1031 sp900752535	0.0581128452473763	0.00581695950688953
CAG-110 sp000434635	0.352918474539914	0.066269861798647
CAG-110 sp000435995	0.154795759161221	-0.0626137269887935
CAG-110 sp003525905	0.224078415649571	0.191398954806185
CAG-110 sp900540635	0.128802327275913	-0.190353268245456
CAG-110 sp900544405	0.352776000117204	0.377687493449169
CAG-110 sp900544705	0.217317606947218	0.235026199436736
CAG-110 sp900544945	0.0647409439317931	-0.0633823371752072
CAG-110 sp900544975	0.0563062593239255	-0.068607258217394
CAG-110 sp900546075	0.284344529878202	0.0720062366949014
CAG-110 sp900546415	0.271463519891083	0.225877617944644
CAG-110 sp900546915	0.0633000168968422	0.0311421759232985
CAG-110 sp900547405	0.105190937342465	-0.0771540557583426
CAG-110 sp900548795	0.29996133666921	0.277721847171896
CAG-110 sp900549495	0.08907369620082	-0.0281745601909312
CAG-110 sp900549705	0.127464952417545	-0.133236342182008
CAG-110 sp900551495	0.209871649709698	0.220214912691686
CAG-110 sp900553805	0.0860084900218148	-0.0835932394539139
CAG-110 sp900554625	0.188260971483497	0.134413511705156
CAG-110 sp900554705	0.154715822242046	0.173606985355968
CAG-110 sp900556935	0.0821045199728433	-0.111213279570593
CAG-110 sp900752285	0.244921183522102	0.188926777854308
CAG-110 sp900762005	0.141820107147786	0.0432154383629725
CAG-110 sp900762245	0.034454880678064	-0.00774917398070541
CAG-110 sp900762935	0.203306808817137	0.179042256126192
CAG-110 sp900763965	0.0374684489312151	-0.0177277988481874
CAG-110 sp900769835	0.0304695048708748	-0.0389085925962719
CAG-110 sp900769995	0.215311314423643	0.26141994073528
CAG-110 sp900770015	0.0542560393133607	-0.0439108753390574
CAG-115 sp000432175	0.577668231738075	0.111715529605722
CAG-115 sp002492075	0.11544905589376	0.0889850840666062
CAG-115 sp003507295	0.474257001531481	0.273779688883147
CAG-115 sp003516865	0.315255463663996	0.046251321187885
CAG-115 sp003531585	0.705210940254631	0.00958380350158285
CAG-115 sp900766795	0.263271994742313	0.124139356752153
CAG-115 sp900768125	0.652577565007665	-0.0825424910445599
